Ep.,구분,이름,메뉴,계절,시/도,군/구,지번,전화번호,비고,Filter
Ep.05,걸신의 인문학,,라면,,,,,,"하루 라면을 끓이기 위해 40Kg의 돼지뼈가 필요함.
하루 소모하는 밀가루 대략 두 포대.
육수가 든 들통 대략 200Kg.
따라서 여자는 일 하기 힘듦.
영화 탄뽀뽀에서도 맛없는 라면집 여자 주인을 교육 시킬 때 체력 훈련부터 하는것을 볼 수 있음.
라루미엔이라는 중국 면음식에서 유래.
현재 라면의 원형은 1910년대 중국인 노동자가 많았던 요코하마 항의 라이라이켄이라는 요리사가 만든것으로 유래.
그 당시 난쿄 소바, 지나 소바 또는 중화 소바 등으로 불리움.
초기에는 중국식 납면 방식으로 만든 면을 닭등의 육수에 말아먹었음.
한국에서는 짜장이나 짬뽕이 발달 했듯이 일본에서는 라면으로 발달한 것으로 봄.
일본 역시 라면의 폭발적인 성장은 2차대전 후 인스턴트 라면의 탄생 이후.
1958년 안도 시로후꾸가 면을 튀겨 건조시키는 최초의 라면을 만들어 전후 성장기 일본에서 빨리 한 끼 해결 할수 있도록함.
최초의 인스턴트 라면은 닭육수 베이스의 치킨라면이 선풍적 인기를 얻게 됨.
1963년 삼양라면에서 이 라면을 도입.
우리나라 도입 당시에는 비싼 가격으로 크게 인기를 얻지 못했으나 60년대 말 분식 장려운동으로 한국 입맞에 맞는 개량이 이루어져 70년대 부터 급속도로 산업화가 시작 되며 노동자와 수험생등에 의해 라면의 붐을 일으키게 됨.
72년즈음 삼양에서 일본에서는 71년에 출시한 컵라면을 내 놓았으나 역시 비싼 단가로 인기를 얻지 못하다 80년대에 농심의 사발면에 의해 인기를 얻게 됨.
일본 최초 컵라면에 가까운 시푸드 라면(파란 라벨)이 한국인 입맞에 잘맞고 맛도 좋으나 남대문 도매시장 수입가 5천원 가량으로 수입산은 비추함.
60년대 풍년 라면, 아리랑 라면들 삼양과 경쟁사가 있었으나 모두 사라지고 농심의 전신인 롯데가 후발주자로 뛰어들며 70년대 중반 부터 농심의 반격이 시작됨.
이때 농심의 CF는 우리 나라 CF역사에서 손에 꼽히는 수작으로 평가되며 이후 홍보에 주력하여 80년대에는 삼양의 독주체제가 무너지고 80년대 말 우지 파동으로 치명적인 타격을 입어 이후 농심의 독주체제로 전환됨.",0
Ep.05,맛집,一蘭 博多店 (이치란 하카타점),일본라면,,"福岡県
(후쿠오카현)","福岡市
(후쿠오카시)","博多区博多駅前2-2-1 福岡センタービルB2F
(하카타 구 하카타 역 앞 2-2-1 후쿠오카 센터 빌딩 B2F)",+81 92-473-0810,http://www.ichiran.co.jp/html/q_hakata.html,1
Ep.05,맛집,하카다분코,일본라면(돈코츠),,서울,마포,상수동 93-28,02-338-5536,,1
Ep.05,맛집,유타로,일본라면(쇼유라멘),,경기,성남,분당구 서현동 260-4 덕산빌딩 101,031-708-5999,,1
Ep.05,맛집,산쵸메,일본라면(미소라멘),,서울,마포,동교동 164-32,02-322-0098,,1
Ep.05,걸신의 레시피,,매운탕,,,,,,"싱싱한 생선을 소주로 씻어주면 비린내가 덜하다.
매운탕은 생선을 우려 끓이면 생선 살이 뭉게지므로 서더리로 우려낸 육수로 끓이는게 좋으나 서더리를 따로 준비하기 어렵기 때문에 다시마, 멸치, 조개 등으로 우려낸 육수로 탕을 끓이고 마지막 부분에 생선을 넣어 익혀야 실패하지 않는다.
양념한 무우를 먼저 볶고 거기에 육수를 부어 끓이면 보다 시원한 맛을 있고 마지막에 미나리를 넣어 향을 더한다.
경우에 따라 말린 표고버섯을 하루가량 불린 물로 육수를 끓이면 좋다.
매운 양념을 만들때 소주나 정종을 조금 넣으면 좋다.
끌이는동안 거품을 최대한 걷어내고 국물이 무와 함께 거의 익었을 때 생선을 넣어 모양을 잘 살리도록 한다.
대구와 같이 살이 매우 무른 생선은 뜨거운 국물을 끼얹어가며 익혀 마지막으로 국에 넣어야 형태를 유지할 수 있다.
민물생선의 경우 흙맛을 죽이기 위해 양념을 더 진하게 사용해야 하고 보리새우와 호박을 넣으면 매우 잘 어울리고 거의 다 먹었을 때 수제비를 넣어 먹으면 좋다.",1
Ep.05,맛집,어부집,메기탕/장어구이/장어탕,,경기,파주,파평면 율곡리 83-29,031-953-0787,,1
Ep.05,맛집,양평민물고기매운탕,메기탕,,서울,용산,청파동1가 149-3,02-712-6657,,1
Ep.05,이 집에 가라,메기1번지,메기탕,,경기,고양,일산서구 법곳동 256-44,031-918-3838,연세 있는 연예인들을 볼 수 있는 집.,1
Ep.05,이 집에 가라,초야식당,메기찜,,전남,장성,장성읍 상오리 688,061-393-0734,"전라남도에서도 유서깊은 집.
제 1회 남도 음식문화 경진대회에서 대상을 수상함.
함께 나오는 밑반찬 하나하나가 모두 뛰어남.
집 주인의 입담 역시 수준급임.
자연산 장어도 취급.
최근 메뉴판에서 사라졌으나 주문하면 나온다고 함. [압정]",1
Ep.06,맛집,전통식당,한정식,,전남,담양,고서면 고읍리 688-1,061-382-3111,,1
Ep.06,맛집,합,떡,,서울,강남,청담동 93-3,070-4209-081,2호점도 있음,1
Ep.06,맛집,소운빙,빙수(딸기빙수),,서울,서초,반포동 978,02-3471-2221,"이전 스노우볼에서 소운빙으로 개명함.
이촌점, 방배점 있음.
홍대, 가로수길, 교대, 이수, 건대 등이 추가됨.",1
Ep.06,맛집,이강순실비집(실비집),낙지볶음,,서울,종로,관철동 11-11,02-756-4107,,1
Ep.06,맛집,두암짚불구이,짚불돼지고기,,전남,무안,몽탄면 사창리 697-2,061-452-3775,,1
Ep.06,맛집,수한횟집,회(봄숭어),,전남,무안,해제면 송석리 5,061-454-7645,,1
Ep.06,맛집,프로젝트D,빙수(수박빙수),,경기,용인,기흥구 보정동 1189-6,031-898-0878,,1
Ep.06,이 집에 가라,독천식당,갈낙탕,,전남,영암,학산면 독천리 184-12,061-472-4222,,1
Ep.06,이 집에 가라,무안식당,육사시미,,전남,무안,무안읍 성내리 187-1,061-453-1919,,1
Ep.06,이 집에 가라,제일회식당,낙지,,전남,무안,망운면 목서리 174,070-8837-1139,,1
Ep.07,맛집,오봉막국수,청국장,,강원,홍천,두촌면 자은리 726-1,033-435-2762,너클볼러 추천,1
Ep.07,맛집,백촌막국수,막국수,,강원,고성,토성면 백촌리 162,033-632-5422,100%메밀+동치미,1
Ep.07,맛집,영광정메밀국수,막국수,,강원,양양,강현면 사교리 62,033-673-5254,"3가지 종류.
일반, 순면, 껍질 포함된 순면.
동치미 육수.",1
Ep.07,맛집,송월메밀국수,막국수,,강원,양양,손양면 송전리 89-2,033-672-3696,,1
Ep.07,맛집,서호막국수,막국수,,강원,인제,인제읍 가아리 58,033-461-2078,10시 영업 시작.,1
Ep.07,맛집,남북면옥,"막국수, 수육",,강원,인제,인제읍 인제읍 상동리 265-1,033-461-2219,"며느리 삼대, 100%메밀.
시골느낌의 돼지고기 수육.
11시 영업 시작.",1
Ep.07,맛집,천서리 막국수,막국수,,경기,여주,대신면 천서리 603-3,031-883-9799,고기 육수를 사용.,1
Ep.07,맛집,송원막국수,막국수,,경기,가평,가평읍 읍내리 363-1,031-582-1408,최근 너무 유명해져 예전에 비해 맛이 떨어진 느낌.,1
Ep.07,이 집에 가라,샘밭막국수,막국수,,강원,춘천,신북읍 천전리 118-23,033-242-1702,"고기 육수와 동치미를 섞어 사용.
양념이나 간이 강하지 않음.
예전의 맛을 잘 유지하고 있음.
춘천 막국수 특유의 중용의 미가 좋음.
외곽 국도변에 있어 외갓집에 놀러온 듯한 정취가 있음.",1
Ep.07,맛집,실비막국수,막국수,,강원,춘천,소양로2가 127-2,033-254-2472,,1
Ep.07,맛집,남부막국수,막국수,,강원,춘천,효자동 679-27,033-254-7859,방송에는 서울점이 소개됐으나 현재는 폐업한것으로 보임.,0
Ep.07,맛집,산골면옥춘천막국수,막국수,,서울,중,을지로4가 61,02-2266-5409,예전부터 찾는 어르신들이 손님의 주를 이뤄 조금 부담스러운 분위기.,1
Ep.08,맛집,하동관(명동점),곰탕,,서울,중,명동1가 10-4,02-776-5656,"예전 을지로점에서 분리.
초반에는 맛이 변했으나 현재에는 안정을 찾음.",1
Ep.08,맛집,하동관(삼성점),곰탕,,서울,강남,대치동 891-44,02-565-0003,"예전 을지로점에서 분리.
예전 을지로점 맛에 더 가까움.",1
Ep.08,맛집,하얀집,곰탕,,전남,나주,중앙동 48-17,061-333-4292,"독보적인 맑은 국물을 자랑.
토렴된 밥과 국물의 조화가 좋음.
전라도 스타일의 김치가 강함.",1
Ep.08,맛집,노안집,곰탕,,전남,나주,금계동 23-5,061-333-2053,,1
Ep.08,맛집,탯자리나주곰탕,곰탕,,전남,나주,과원동 121-4,061-332-3377,,1
Ep.08,맛집,황순옥 나주곰집,곰탕,,광주,서,치평동 1243,062-374-8088,"하얀집 주방을 담당 하시던 할머니가 가계를 냄.
하얀집 옆에 잠시 있었으나 광주로 다시 이전함.
옟날 하얀집 맛.",1
Ep.08,이 집에 가라,애성회관,곰탕,,서울,중,북창동 93-57,02-352-0303,"곰탕의 원류에 가까운 간 방식인 간장 간을 사용함.
내장을 사용하지 않고 양지만으로 국물을 우려냄.
육수를 우려낸 양지가 수육 수준의 맛이 남.
기본 7000원 특 9000원.",1
Ep.09,이 집에 가라,우래옥,냉면,,서울,중,주교동 118-1,02-2265-0151,"순면, 고기육수
순면이 사라져 비추하는 집이 됨.(41회)",1
Ep.09,이 집에 가라,평양면옥(의정부),"냉면, 만두, 만두국",,경기,의정부,의정부동 385,031-877-2282,,1
Ep.09,맛집,필동면옥,냉면,,서울,중,필동3가 1-5,02-2266-2611,,1
Ep.09,맛집,을지면옥,"냉면, 돼지고기편육",,서울,중,입정동 177-1,02-2266-7052,,1
Ep.09,맛집,평양면옥(장충동),냉면,,서울,중,장충동1가 26-14,02-2667-7784,본점. 의외로 가장 맛이 떨어짐.,1
Ep.09,맛집,평양면옥(분당),냉면,,경기,성남,분당구 서현동 194-2,031-701-7752,,1
Ep.09,맛집,평양면옥(논현),냉면,,서울,강남,논현동 66-2,02-549-5378,,1
Ep.09,맛집,옹진냉면,냉면,,인천,남,주안2동 509-13,032-875-0410,해주식,1
Ep.09,맛집,옥천냉면,냉면,,경기,양평,옥천면 옥천리 760,031-772-9693,,1
Ep.09,이 집에 가라,한마음면옥,냉면,,대전,서,도마2동 101-6,042-536-0408,"사리원 면옥 주방장 출신.
사태+동치미.
간장맛이 특이함.
가장 추천.",1
Ep.09,이 집에 가라,원미면옥,냉면,,대전,동,비룡동 557,042-286-7883,가을에서 초봄 추울때는 짬뽕과 우동을 판매.,1
Ep.09,맛집,숯골원냉면,냉면,,대전,유성,신성동 136-2,042-861-3287,닭+동치미육수,1
Ep.09,맛집,사리원면옥,냉면,,대전,중,대흥동 188-5,042-256-6506,소고기,1
Ep.09,이 집에 가라,진수메밀냉면,냉면,,대전,중,산성동 279-3,042-586-7892,닭+소고기+동치미육수,1
Ep.09,맛집,봉피양,냉면,,서울,송파,방이동 205-8,02-415-5527,,1
Ep.09,맛집,강서면옥,냉면,,서울,중,서소문동 120-15,02-752-1945,,1
Ep.09,맛집,서부냉면,냉면,,경북,영주,풍기읍 서부리 133-5,054-636-2457,,1
Ep.09,맛집,고박사냉면집,냉면,,경기,평택,평택동 64-2,031-652-1199,고기육수,1
Ep.10,이 집에 가라,제일식당,"순대국, 순대",,경기,용인,처인구 백암면 백암리 449-2,031-332-4608,,1
Ep.10,맛집,박순자아우네순대,순대국,,충남,천안,동남구 병천면 병천리 173-6,041-564-1242,,1
Ep.10,맛집,충남집,순대국,,충남,천안,동남구 병천면 병천리 168-16,041-564-1079,,1
Ep.10,맛집,제일순대식당,순대국,,전북,진안,진안읍 군상리 402-18,063-433-2246,,1
Ep.10,맛집,이화순대,순대국,,인천,중,도원동 67-3,032-882-3039,순대는 별로,1
Ep.10,이 집에 가라,고궁식당,순대국,,경북,칠곡,왜관읍 삼청리 590-1,054-974-0055,"점포 이전을 하며 제공하는 메뉴가 많아짐.
2대가 물려 받음 평가는 보류. (소대가리님 지니즈님 제보)",1
Ep.10,맛집,온천골아바이순대,순대국,,경북,칠곡,석적읍 도개리 78-5,054-975-5662,도개온천상가로 이전 소식이 있음.,1
Ep.10,맛집,경북집,"동그랑땡, 순대",,서울,종로,관수동 4-3,02-2275-8177,평안도 방식 순대,1
Ep.11,맛집,교동반점(교동짬뽕),짬뽕(매운짬뽕),,강원,강릉,교동 162-126,033-646-3833,10시 오픈. 최대한 빨리 가야 먹을 수 있음.,1
Ep.11,맛집,복성루,짬뽕,,전북,군산,미원동 332,063-445-8412,"1-2회에 소개됨.
일요일 휴무.",1
Ep.11,이 집에 가라,지린성,짬뽕,,전북,군산,미원동 87,063-467-2905,,1
Ep.11,맛집,쌍용반점,짬뽕,,전북,군산,금동 1-69,063-445-2633,,1
Ep.11,이 집에 가라,동해원,짬뽕,,충남,공주,소학동 194-1,041-852-3624,재개발로 이전 주소에서 이전함.,1
Ep.11,맛집,단골식당,짬뽕,,충북,충주,주덕읍 신양리 266-8,043-846-4175,,1
Ep.11,맛집,진흥반점,짬뽕,,대구,남,이천동 311-28,053-474-1738,친근한 맛,1
Ep.11,이 집에 가라,천지궁(서초점),짬뽕(굴짬뽕),,서울,서초,서초동 1589-8,02-585-8116,,1
Ep.11,맛집,매화,짬뽕(굴짬뽕),,서울,마포,연남동 227-23,02-332-0078,,1
Ep.11,맛집,신동양,짬뽕(흰매운짬뽕),,전북,익산,갈산동 129-2,063-855-3100,,1
Ep.11,맛집,경발원,짬뽕(흰매운짬뽕),,서울,동대문,휘경동 261-1,02-2244-2616,,1
Ep.11,맛집,용인죽전 교동짬뽕,짬뽕,,경기,용인,수지구 죽전동 1190-5,031-898-3323,용인 죽전점을 강조. (41회),1
Ep.12,맛집,미성당납작만두,만두(납작만두),,대구,중,남산4동 104-13,053-255-0742,,1
Ep.12,맛집,18번완당집,만두(완당),,부산,중,남포동3가 1,051-245-0018,서구 부용동1가 69-1에서 주방장이 독립함. [맹렬우주한량],1
Ep.12,맛집,사해방,"만두(물만두, 군만두)",,부산,동,초량2동 553-3,051-463-9883,,1
Ep.12,맛집,홍성방,"만두(물만두, 군만두)",,부산,동,초량1동 571,051-467-5398,,1
Ep.12,맛집,보영만두,만두,,경기,수원,장안구 팔달로 271,031-255-1085,"쫄면, 만두, 쿨피스.
쫄면과 만두를 섞어먹는것이 특징.
쫄면은 본점 만두는 영통점이 더 나음.",1
Ep.12,맛집,서문우동,"빵, 우동",,충북,청주,상당구 서문동 166-3,043-256-3334,2째 4째 주 일요일 휴무.,1
Ep.12,맛집,노독일처,만두(소룡포),,서울,서초,잠원동 15-10,02-517-4552,,1
Ep.12,맛집,원보,만두,,인천,중,북성동2가 10-13,032-773-7888,,1
Ep.12,맛집,십리향,만두(화덕만두),,인천,중,북성동2가 10-26,032-762-5888,,1
Ep.12,맛집,파오파오,만두,,서울,송파,잠실동 205-16,02-412-9198,,1
Ep.12,맛집,자하손만두,"만두국, 편수",,서울,종로,부암동 245-2,02-394-4488,,1
Ep.12,맛집,홍복,만두,,서울,마포,연남동 224-41,02-323-1698,,1
